ST	penA	mtrR	porB	ponA	gyrA	parC	23S	NG-STAR_CC
1	22.001	10	13	100	100	2	100	190
2	15.001	14	14	100	100	7	100	1401
3	2.001	1	13	1	5	1	100	334
4	10.001	19	8	1	2	5	100	348
5	7.001	25	8	1	2	11	100	1229
6	2.001	19	8	1	1	1	100	6169
7	2.001	26	13	1	1	12	100	208
8	12.001	1	8	1	100	7	100	311
9	2.001	32	2	100	100	100	100	63
10	5.003	1	12	1	1	3	100	127
11	1.002	5	100	100	100	100	100	845
12	22.001	10	5	1	100	1	100	472
13	15.001	5	14	100	100	2	100	1400
14	12.001	22	8	1	100	1	100	104
15	10.001	19	8	1	5	2	100	15
16	42.001	1	11	1	1	3	100	90
17	100.001	18	14	100	100	1	100	17
18	100.001	18	14	100	3	1	100	17
19	1.001	4	100	100	100	1	100	20
20	1.001	5	100	100	100	1	100	20
21	1.001	7	1	100	100	2	100	Ungroupable
22	10.001	1	8	1	1	3	100	127
23	10.001	19	11	1	5	2	100	15
24	27.001	25	8	1	9	1	100	6233
25	10.001	33	12	1	2	5	100	348
26	12.001	1	8	1	1	3	100	26
27	12.001	1	8	1	1	3	2	26
28	12.001	1	8	1	2	4	100	26
29	12.001	1	8	3	1	3	100	26
30	12.001	1	8	3	1	3	1	26
31	12.001	1	8	4	1	14	100	26
32	12.001	1	8	4	1	3	100	26
33	12.001	34	8	1	1	3	100	26
34	12.001	35	8	3	100	7	100	311
35	12.002	1	8	1	1	3	2	127
36	12.003	1	8	1	1	3	1	127
37	13.001	1	8	1	1	3	100	127
38	13.001	19	8	1	1	9	100	38
39	13.001	19	8	1	1	9	2	38
40	3.001	22	8	1	2	3	2	Ungroupable
41	13.001	36	8	1	3	7	100	Ungroupable
42	14.001	10	3	100	100	1	100	42
43	14.001	10	3	100	100	1	6	42
44	14.002	28	1	100	100	7	100	178
45	15.001	18	1	100	100	2	100	893
46	15.001	9	1	100	100	7	100	307
47	15.002	25	1	1	100	2	100	3043
48	15.002	25	1	1	100	2	2	142
49	15.002	25	1	1	8	2	100	142
50	17.001	37	8	1	1	10	100	1109
51	18.001	19	8	1	7	3	100	199
52	19.001	25	6	100	100	2	100	370
53	19.001	38	1	1	7	15	100	309
54	2.001	23	1	100	100	100	100	63
55	2.001	24	1	100	100	2	100	63
56	2.001	24	13	100	100	2	100	55
57	2.001	25	3	100	100	100	2	301
58	2.001	27	1	100	100	100	100	63
59	2.001	30	11	100	100	100	100	213
60	2.001	31	1	100	100	100	100	63
61	2.001	5	3	100	100	100	2	301
62	2.001	9	100	100	100	100	2	845
63	2.001	9	1	100	100	100	100	63
64	2.001	9	1	100	100	100	2	63
65	2.001	9	1	100	1	100	100	63
66	2.001	9	1	2	100	100	100	63
67	2.001	9	11	100	100	100	100	63
68	2.001	9	11	100	100	100	2	63
69	2.002	1	12	1	7	6	1	5994
70	2.002	1	13	1	2	13	100	889
71	2.002	19	1	1	7	3	100	73
72	2.002	19	11	1	7	3	100	73
73	2.002	19	8	1	7	3	100	73
74	2.002	25	3	100	100	100	2	2655
75	2.003	9	1	100	1	100	100	63
76	21.001	19	8	1	7	8	100	1118
77	22.004	100	3	100	100	1	2	79
78	22.005	100	3	100	100	1	2	79
79	22.001	100	3	100	100	1	2	79
80	22.001	1	3	100	100	1	2	79
81	22.002	11	100	100	100	2	100	1958
82	22.001	12	100	100	100	7	100	84
83	22.001	13	3	100	100	1	100	239
84	22.001	15	100	100	100	7	100	352
85	22.001	15	3	100	100	1	100	239
86	22.001	19	6	1	100	2	100	1115
87	22.001	6	100	100	6	1	100	239
88	34.001	100	11	1	1	3	100	90
89	34.001	1	1	1	1	3	100	90
90	34.001	1	11	1	1	3	100	90
91	34.001	1	11	1	1	3	2	90
92	34.001	1	11	1	1	3	5	90
93	34.001	1	11	3	1	3	100	90
94	34.001	1	11	5	1	3	100	90
95	34.002	1	1	1	1	3	100	90
96	34.002	1	11	1	1	16	100	90
97	34.002	1	11	1	1	3	100	90
98	34.002	1	11	1	1	3	2	90
99	34.002	1	11	3	1	3	100	90
100	34.003	1	11	1	1	3	100	90
101	34.004	1	11	1	1	3	100	90
102	35.001	1	11	1	1	3	100	90
103	35.002	1	11	1	1	3	100	90
104	4.001	19	8	1	100	1	100	104
105	4.001	25	1	1	5	2	2	6234
106	4.001	25	12	1	5	2	100	6234
107	4.001	25	4	1	5	2	2	6234
108	4.001	20	8	100	100	100	100	883
109	4.001	21	8	1	100	1	100	104
110	40.001	5	100	100	4	1	100	20
