penA_allele	mosaic_type
1.001	NonMosaic
1.002	NonMosaic
1.003	NonMosaic
1.004	NonMosaic
1.005	NonMosaic
1.006	NonMosaic
1.007	NonMosaic
1.008	NonMosaic
1.009	NonMosaic
1.010	NonMosaic
1.011	NonMosaic
1.012	NonMosaic
1.013	NonMosaic
1.014	NonMosaic
1.015	NonMosaic
1.016	NonMosaic
1.017	NonMosaic
1.018	NonMosaic
1.019	NonMosaic
1.020	NonMosaic
1.021	NonMosaic
1.022	NonMosaic
1.023	NonMosaic
1.024	NonMosaic
1.025	NonMosaic
1.026	NonMosaic
1.027	NonMosaic
1.028	NonMosaic
1.029	NonMosaic
1.030	NonMosaic
2.001	NonMosaic
2.002	NonMosaic
2.003	NonMosaic
2.004	NonMosaic
2.005	NonMosaic
2.006	NonMosaic
2.007	NonMosaic
2.008	NonMosaic
2.009	NonMosaic
2.010	NonMosaic
2.011	NonMosaic
2.012	NonMosaic
2.013	NonMosaic
2.014	NonMosaic
2.015	NonMosaic
2.016	NonMosaic
2.017	NonMosaic
2.018	NonMosaic
2.019	NonMosaic
2.020	NonMosaic
2.021	NonMosaic
2.022	NonMosaic
2.023	NonMosaic
2.024	NonMosaic
2.025	NonMosaic
2.026	NonMosaic
2.027	NonMosaic
2.028	NonMosaic
2.029	NonMosaic
2.030	NonMosaic
2.031	NonMosaic
2.032	NonMosaic
2.033	NonMosaic
2.034	NonMosaic
2.035	NonMosaic
2.036	NonMosaic
2.037	NonMosaic
2.038	NonMosaic
2.039	NonMosaic
2.040	NonMosaic
2.041	NonMosaic
2.042	NonMosaic
2.043	NonMosaic
2.044	NonMosaic
2.045	NonMosaic
2.046	NonMosaic
2.047	NonMosaic
2.048	NonMosaic
2.049	NonMosaic
2.050	NonMosaic
2.051	NonMosaic
2.052	NonMosaic
2.053	NonMosaic
2.054	NonMosaic
2.055	NonMosaic
2.056	NonMosaic
2.057	NonMosaic
2.058	NonMosaic
2.059	NonMosaic
2.060	NonMosaic
2.061	NonMosaic
2.062	NonMosaic
2.063	NonMosaic
2.064	NonMosaic
2.065	NonMosaic
2.066	NonMosaic
2.067	NonMosaic
2.068	NonMosaic
2.069	NonMosaic
2.070	NonMosaic
2.071	NonMosaic
2.072	NonMosaic
2.073	NonMosaic
2.074	NonMosaic
2.075	NonMosaic
2.076	NonMosaic
2.077	NonMosaic
2.078	NonMosaic
2.079	NonMosaic
2.080	NonMosaic
2.081	NonMosaic
2.082	NonMosaic
2.083	NonMosaic
2.084	NonMosaic
2.085	NonMosaic
2.086	NonMosaic
2.087	NonMosaic
2.088	NonMosaic
2.089	NonMosaic
2.091	NonMosaic
2.092	NonMosaic
2.093	NonMosaic
2.094	NonMosaic
2.095	NonMosaic
2.096	NonMosaic
2.097	NonMosaic
2.098	NonMosaic
2.099	NonMosaic
2.101	NonMosaic
2.102	NonMosaic
2.103	NonMosaic
2.104	NonMosaic
2.105	NonMosaic
2.106	NonMosaic
2.107	NonMosaic
2.108	NonMosaic
2.109	NonMosaic
2.110	NonMosaic
2.111	NonMosaic
2.112	NonMosaic
2.113	NonMosaic
2.114	NonMosaic
2.115	NonMosaic
2.116	NonMosaic
2.117	NonMosaic
2.118	NonMosaic
2.119	NonMosaic
2.120	NonMosaic
2.121	NonMosaic
2.122	NonMosaic
2.123	NonMosaic
2.124	NonMosaic
2.125	NonMosaic
2.126	NonMosaic
2.127	NonMosaic
2.128	NonMosaic
2.129	NonMosaic
3.001	NonMosaic
3.002	NonMosaic
3.003	NonMosaic
3.004	NonMosaic
3.005	NonMosaic
3.006	NonMosaic
4.001	NonMosaic
4.002	NonMosaic
4.003	NonMosaic
5.001	Nonmosaic
5.002	Nonmosaic
5.003	Nonmosaic
5.004	Nonmosaic
5.005	Nonmosaic
5.006	NonMosaic
5.007	NonMosaic
5.008	NonMosaic
5.009	NonMosaic
5.010	Nonmosaic
5.011	NonMosaic
5.012	NonMosaic
5.013	NonMosaic
5.014	NonMosaic
5.015	NonMosaic
5.016	NonMosaic
5.017	NonMosaic
5.018	NonMosaic
5.019	NonMosaic
5.020	NonMosaic
5.021	NonMosaic
5.022	NonMosaic
5.023	NonMosaic
5.024	NonMosaic
5.025	NonMosaic
5.026	NonMosaic
5.027	NonMosaic
5.028	NonMosaic
5.029	NonMosaic
5.030	NonMosaic
5.031	NonMosaic
5.032	NonMosaic
5.033	NonMosaic
7.001	NonMosaic
9.001	NonMosaic
9.002	NonMosaic
